img,check,assessor,time,date,img2
247_1_74,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
247_3_10,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
247_5_89,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
247_7_30,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
247_8_91,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
248_2_58,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
248_6_14,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
248_8_102,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
248_8_15,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
250_1_14,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
250_1_32,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
250_1_87,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
251_1_16,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
251_1_32,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
251_1_48,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
251_1_50,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
251_1_60,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
251_1_66,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
251_1_69,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
251_1_87,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
251_1_89,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
251_1_Roquette,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
244_8_44,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
211_5_44,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
211_5_51,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
211_5_61,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
211_5_78,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
211_7_103,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
211_7_24,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
211_7_52,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
211_7_56,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
